time,raw_data
1717833174.9582286,-8986.82
1717833175.049248,-8986.88
1717833175.1417034,-8987.02
1717833175.2326033,-8987.26
1717833175.3194525,-8987.14
1717833175.4177365,-8987.46
1717833175.5082967,-8987.28
1717833175.5999198,-8987.00
1717833175.6990957,-8987.24
1717833175.7882755,-8987.14
1717833175.8745997,-8987.48
1717833175.9722722,-8987.60
1717833176.0647452,-8986.94
1717833176.1559749,-8987.52
1717833176.2491076,-8987.50
1717833176.3399198,-8986.94
1717833176.4331036,-8986.62
1717833176.51904,-8986.40
1717833176.6166308,-8985.82
1717833176.707925,-8986.28
1717833176.800237,-8986.68
1717833176.8916445,-8986.22
1717833176.984384,-8986.56
1717833177.074787,-8986.66
1717833177.1666873,-8986.24
1717833177.260649,-8986.44
1717833177.3524764,-8985.80
1717833177.4398563,-8986.18
1717833177.5339622,-8986.28
1717833177.6284666,-8986.28
1717833177.716021,-8986.24
1717833177.8082724,-8985.88
1717833177.903306,-8986.18
1717833177.9915652,-8985.84
1717833178.083663,-8985.70
1717833178.169239,-8985.82
1717833178.2712672,-8985.22
1717833178.3586628,-8985.90
1717833178.449883,-8985.66
1717833178.5418746,-8986.06
1717833178.6400094,-8986.00
1717833178.7309685,-8985.88
1717833178.823865,-8987.00
1717833178.916356,-8987.16
1717833179.0070946,-8986.46
1717833179.1000555,-8986.58
1717833179.189944,-8985.76
1717833179.2830184,-8986.46
1717833179.3749294,-8986.96
1717833179.4668212,-8987.48
1717833179.5571222,-8986.88
1717833179.6504557,-8986.28
1717833179.7361505,-8985.98
1717833179.832774,-8986.76
1717833179.9265063,-8986.52
1717833180.0168188,-8986.52
1717833180.1084838,-8987.00
1717833180.202324,-8987.36
1717833180.2919424,-8987.40
1717833180.3835068,-8986.48
1717833180.4763725,-8986.04
1717833180.5677805,-8986.34
1717833180.6585236,-8986.56
1717833180.7540698,-8985.88
1717833180.841967,-8985.62
1717833180.9380224,-8986.52
1717833181.0300095,-8986.42
1717833181.1219497,-8986.04
1717833181.2150986,-8985.90
1717833181.3059058,-8986.10
1717833181.3919926,-8986.38
1717833181.4837503,-8986.42
1717833181.5827544,-8986.72
1717833181.674784,-8986.38
1717833181.7671657,-8986.14
1717833181.858575,-8986.88
1717833181.9504514,-8986.50
1717833182.0418735,-8985.96
1717833182.134173,-8984.92
1717833182.2250965,-8985.74
1717833182.317612,-8986.60
1717833182.4085708,-8987.08
1717833182.4981213,-8986.92
1717833182.592404,-8987.20
1717833182.6839414,-8986.72
1717833182.768366,-8986.46
1717833182.8687224,-8985.68
1717833182.9589336,-8985.60
1717833183.0530589,-8985.30
1717833183.1355147,-8986.00
1717833183.2352448,-8986.78
1717833183.3239384,-8986.20
1717833183.4218647,-8987.12
1717833183.5065467,-8986.76
1717833183.6007411,-8986.54
1717833183.6918054,-8985.92
1717833183.7860754,-8986.02
1717833183.8797956,-8986.20
1717833183.9728646,-8987.44
1717833184.066358,-8987.50
1717833184.1529057,-8986.38
1717833184.2497563,-8986.60
1717833184.3408582,-8986.20
1717833184.4338377,-8985.74
1717833184.5205526,-8985.68
1717833184.616955,-8985.48
1717833184.706655,-8985.80
1717833184.799827,-8986.36
1717833184.8921185,-8986.20
1717833184.9850042,-8986.18
1717833185.0750997,-8985.62
1717833185.16831,-8985.56
1717833185.2531228,-8986.66
1717833185.3522975,-8986.82
1717833185.4440997,-8986.40
1717833185.5337584,-8986.00
1717833185.6239996,-8986.42
1717833185.720029,-8986.64
1717833185.808656,-8985.90
1717833185.900241,-8986.22
1717833185.9921298,-8987.16
1717833186.0879326,-8986.78
1717833186.1756997,-8986.96
1717833186.2731466,-8986.44
1717833186.3590684,-8986.86
1717833186.455845,-8986.54
1717833186.5487726,-8986.28
1717833186.6409235,-8986.78
1717833186.732529,-8987.32
1717833186.823655,-8987.16
1717833186.9173493,-8987.72
1717833187.008918,-8987.14
1717833187.1007307,-8986.88
1717833187.192271,-8986.90
1717833187.2842188,-8986.74
1717833187.3754163,-8986.40
1717833187.4680302,-8986.72
1717833187.558608,-8987.08
1717833187.6511953,-8987.28
1717833187.7435524,-8986.92
1717833187.836055,-8987.02
